"doc_id","sentences","env","soc","gov","action","specificity","cti","CVR","Year","Revenue","Industry","Class","Corporate_structure","Region","Employees","env_soc_ratio"
"doc_2245",25,0,0.8,0.08,NA,NA,NA,37387207,2023,"367354608","Construction","Large (C+)","Limited Liability Companies","Region Midtjylland",31,0.555555555555556
"doc_2246",36,0.305555555555556,0.583333333333333,0.25,0.272727272727273,0.181818181818182,0.666666666666667,41248718,2021,"1660050000","Finance and Insurance","Large (C+)","Limited Liability Companies","Region Syddanmark",351,0.824561403508772
"doc_2247",32,0.4375,0.25,0.3125,0.142857142857143,0,1,46198816,2019,"500034000","Manufacturing","Large (C+)","Limited Liability Companies","Region Nordjylland",71,1.15
"doc_2248",21,0.142857142857143,0.523809523809524,0.19047619047619,0.333333333333333,0.333333333333333,0,69649610,2020,"1217106000","Finance and Insurance","Large (C+)","Limited Liability Companies","Region Syddanmark",709,0.75
"doc_2249",3,0.333333333333333,0.666666666666667,0.333333333333333,0,0,NA,56973311,2020,"6808873000","Trade","Large (C+)","Limited Liability Companies","Region Hovedstaden",1349,0.8
"doc_225",14,0.285714285714286,0.428571428571429,0.285714285714286,0.5,0.25,0.5,15516046,2021,"NULL","Services","Medium (C)","Limited Liability Companies","Region Hovedstaden",54,0.9
"doc_2250",19,0.473684210526316,0.157894736842105,0.0526315789473684,0.444444444444444,0,1,29244391,2023,"200696000","Knowledge Services","Large (C+)","Limited Liability Companies","Region Midtjylland",211,1.27272727272727
"doc_2251",4,0.25,0.75,0.75,0,0,NA,37249211,2018,"NULL","Knowledge Services","Large (C+)","Limited Liability Companies","Region Midtjylland",71,0.714285714285714
"doc_2252",5,0,0.6,0.8,NA,NA,NA,40559817,2019,"859848000","Knowledge Services","Large (C+)","Limited Liability Companies","Region Syddanmark",104,0.625
"doc_2253",3,0,0.666666666666667,0,NA,NA,NA,36400897,2019,"NULL","Public and Social Services","Small (A-B)","Limited Liability Companies","Region Hovedstaden",NA,0.6
"doc_2254",13,0.384615384615385,0.461538461538462,0.230769230769231,0.6,0,1,44463814,2023,"NULL","Finance and Insurance","Medium (C)","Limited Liability Companies","Region Sjælland",276,0.947368421052631
"doc_2255",15,0.333333333333333,0.133333333333333,0.0666666666666667,0.6,0,1,20003286,2022,"325044000","Trade","Large (C+)","Limited Liability Companies","Region Syddanmark",32,1.17647058823529
"doc_2256",4,0,0.25,0.5,NA,NA,NA,40365818,2022,"17050000","Finance and Insurance","Large (C+)","Limited Liability Companies","Region Sjælland",0,0.8
"doc_2257",23,0.130434782608696,0.739130434782609,0.434782608695652,0,0,NA,24257819,2022,"602511000","Trade","Large (C+)","Limited Liability Companies","Region Nordjylland",64,0.65
"doc_2258",7,0.714285714285714,0.714285714285714,0.571428571428571,0.4,0,1,10915295,2022,"1271176000","Services","Large (C+)","Limited Liability Companies","Region Hovedstaden",308,1
"doc_2259",2,0,0.5,0.5,NA,NA,NA,87310116,2019,"2299830000","Trade","Large (C+)","Limited Liability Companies","Region Syddanmark",732,0.666666666666667
"doc_226",4,0.25,0.5,0.5,0,0,NA,15200081,2019,"NULL","Construction","Medium (C)","Limited Liability Companies","Region Sjælland",136,0.833333333333333
"doc_2260",20,0.2,0.7,0.3,0.5,0,1,27524958,2020,"NULL","Trade","Medium (C)","Limited Liability Companies","Region Nordjylland",54,0.705882352941177
"doc_2261",1,1,1,1,0,0,NA,29975884,2019,"20588212000","Manufacturing","Large (C+)","Limited Liability Companies","Region Sjælland",338,1
